metrics,type,epoch,value
"loss","train",0.0064516129032258064,3.655073404312134
"loss","train",0.012903225806451613,2.9135632514953613
"loss","train",0.01935483870967742,3.887784957885742
"loss","train",0.025806451612903226,2.9912426471710205
"loss","train",0.03225806451612903,1.4230602979660034
"loss","train",0.03870967741935484,1.8058900833129883
"loss","train",0.04516129032258064,3.2350833415985107
"loss","train",0.05161290322580645,2.292070150375366
"loss","train",0.05806451612903226,2.513760566711426
"loss","train",0.06451612903225806,2.164811372756958
"loss","train",0.07096774193548387,1.6609662771224976
"loss","train",0.07741935483870968,1.8452059030532837
"loss","train",0.08387096774193549,2.3374948501586914
"loss","train",0.09032258064516129,2.7184863090515137
"loss","train",0.0967741935483871,1.5770725011825562
"loss","train",0.1032258064516129,2.7806668281555176
"loss","train",0.10967741935483871,1.9129271507263184
"loss","train",0.11612903225806452,1.0572210550308228
"loss","train",0.12258064516129032,1.6413543224334717
"loss","train",0.12903225806451613,1.054809808731079
"loss","train",0.13548387096774195,2.593670129776001
"loss","train",0.14193548387096774,2.744211435317993
"loss","train",0.14838709677419354,1.2981172800064087
"loss","train",0.15483870967741936,0.7486940622329712
"loss","train",0.16129032258064516,3.040374279022217
"loss","train",0.16774193548387098,1.5370174646377563
"loss","train",0.17419354838709677,1.4676514863967896
"loss","train",0.18064516129032257,0.7855893969535828
"loss","train",0.1870967741935484,1.060303807258606
"loss","train",0.1935483870967742,1.236362338066101
"loss","train",0.2,1.0988625288009644
"loss","train",0.2064516129032258,0.9681521058082581
"loss","train",0.2129032258064516,1.3783791065216064
"loss","train",0.21935483870967742,2.021898031234741
"loss","train",0.22580645161290322,1.6448673009872437
"loss","train",0.23225806451612904,1.744269609451294
"loss","train",0.23870967741935484,1.062658429145813
"loss","train",0.24516129032258063,1.7206380367279053
"loss","train",0.25161290322580643,0.6709423661231995
"loss","train",0.25806451612903225,1.4506007432937622
"loss","train",0.2645161290322581,0.6669240593910217
"loss","train",0.2709677419354839,0.7369527220726013
"loss","train",0.27741935483870966,2.1511988639831543
"loss","train",0.2838709677419355,0.9813293814659119
"loss","train",0.2903225806451613,1.130104422569275
"loss","train",0.2967741935483871,1.063325047492981
"loss","train",0.3032258064516129,2.2119638919830322
"loss","train",0.3096774193548387,0.75812166929245
"loss","train",0.3161290322580645,0.7326225638389587
"loss","train",0.3225806451612903,1.184255599975586
"loss","train",0.32903225806451614,1.0241111516952515
"loss","train",0.33548387096774196,1.2935973405838013
"loss","train",0.3419354838709677,0.87894207239151
"loss","train",0.34838709677419355,0.9039459824562073
"loss","train",0.3548387096774194,1.7402101755142212
"loss","train",0.36129032258064514,1.5680254697799683
"loss","train",0.36774193548387096,0.7759260535240173
"loss","train",0.3741935483870968,0.9410561919212341
"loss","train",0.38064516129032255,0.9561826586723328
"loss","train",0.3870967741935484,0.9938439726829529
